symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
B3SAA12,2020-01-02T00:00:00.000Z,45.11,42.46,2.7,13,ITM,0.986178,0.02780694548546331,0.0036163333305150903,-0.005039550910796289,0.021556381825969938,12.389,98.52,2.7,CALL
B3SAA13,2020-01-02T00:00:00.000Z,45.11,43.46,2.06,13,ATM,0.761361,0.12246545870236797,0.03175244350993317,-0.03272595642364771,0.01665486641549394,24.699,74.36,2.06,CALL
B3SAA14,2020-01-02T00:00:00.000Z,45.11,44.46,1.43,13,ATM,0.615919,0.14461939503203794,0.03913664453734571,-0.04089625788190155,0.013595297044161464,25.779,59.34,1.43,CALL
B3SAA15,2020-01-02T00:00:00.000Z,45.11,45.46,1.0,13,ATM,0.47056,0.13904007798515358,0.04076325684342168,-0.0453918928578305,0.010434481240357346,27.928,44.54,1.0,CALL
B3SAA16,2020-01-02T00:00:00.000Z,45.11,46.46,0.62,13,ATM,0.338161,0.12794423158951576,0.03746320923908803,-0.041352804747759105,0.007549462466921185,27.893,31.53,0.62,CALL
B3SAA363,2020-01-02T00:00:00.000Z,45.11,35.46,9.55,13,ITM,1.0,0.0,0.0,-0.0028113836005137275,0.01827388657076241,0.0,100.0,9.6866,CALL
B3SAA42,2020-01-02T00:00:00.000Z,45.11,41.96,3.14,13,ITM,1.0,0.0,0.0,-0.0033267246440371124,0.021623583770704755,0.0,100.0,3.1933,CALL
B3SAA43,2020-01-02T00:00:00.000Z,45.11,42.96,2.31,13,ITM,0.880936,0.10242478621609123,0.020382755452157227,-0.01783210244498566,0.019308504926991408,18.957,87.22,2.31,CALL
B3SAA44,2020-01-02T00:00:00.000Z,45.11,43.96,1.78,13,ATM,0.681689,0.1302000825497868,0.03655851116257941,-0.03990977617289852,0.014945264408177304,26.748,65.97,1.78,CALL
B3SAA440,2020-01-02T00:00:00.000Z,45.11,43.71,2.03,13,ATM,0.700723,0.11669717558685881,0.035584756856901274,-0.04210434385821967,0.015259241199622737,29.048,67.74,2.03,CALL
