symbol,time,spot_price,strike,premium,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs_theoretical,option_type
BBDCA101,2023-01-02T00:00:00.000Z,14.75,10.21,4.56,13,ITM,0.98929,0.011529543520658327,0.0009478868662229201,-0.0034667745327637205,0.005175226847219946,73.252,98.36,4.56,CALL
BBDCA136,2023-01-02T00:00:00.000Z,14.75,13.94,1.14,13,ITM,0.71412,0.20398979005681028,0.011390421525020377,-0.022541460251983773,0.004845711176353981,49.752,67.45,1.14,CALL
BBDCA14,2023-01-02T00:00:00.000Z,14.75,14.19,0.84,13,ATM,0.691727,0.2745827826170155,0.011790226496445571,-0.01809214993559291,0.004830076243077897,38.258,66.05,0.84,CALL
BBDCA141,2023-01-02T00:00:00.000Z,14.75,16.41,0.05,13,OTM,0.095279,0.1465794082693133,0.005674590688778649,-0.007635939216124479,0.0006991912582723212,34.494,8.27,0.05,CALL
BBDCA146,2023-01-02T00:00:00.000Z,14.75,14.76,0.47,13,ATM,0.517622,0.3400367918756899,0.013352058888589225,-0.01853563907545224,0.003696165162692429,34.986,48.59,0.47,CALL
BBDCA15,2023-01-02T00:00:00.000Z,14.75,15.01,0.36,13,ATM,0.433798,0.33503893868641377,0.013180666041780835,-0.01824911980410733,0.0031150906694154597,35.052,40.27,0.36,CALL
BBDCA150,2023-01-02T00:00:00.000Z,14.75,11.21,3.58,13,ITM,0.969389,0.03056864980839582,0.002317924096525681,-0.006873870146633714,0.005529345482301033,67.561,95.71,3.58,CALL
BBDCA155,2023-01-02T00:00:00.000Z,14.75,15.58,0.17,13,OTM,0.25666,0.28160858460796806,0.01079409770305219,-0.014465508497677117,0.0018652493569187337,34.152,23.23,0.17,CALL
BBDCA156,2023-01-02T00:00:00.000Z,14.75,15.91,0.1,13,OTM,0.172288,0.2278165146113584,0.008550446073566028,-0.011191332733635954,0.0012593707114594325,33.441,15.36,0.1,CALL
BBDCA160,2023-01-02T00:00:00.000Z,14.75,12.03,2.8,13,ITM,0.931961,0.06165455177146897,0.004400702299433681,-0.011633012767441279,0.005646935004957113,63.596,91.09,2.8,CALL
BBDCA170,2023-01-02T00:00:00.000Z,14.75,12.86,1.99,13,ITM,0.897133,0.10621956364006245,0.006001731257403334,-0.012513545750866552,0.005799782260215697,50.344,87.51,1.99,CALL
BBDCA173,2023-01-02T00:00:00.000Z,14.75,17.24,0.01,13,OTM,0.024065,0.049894109424219055,0.0018963097538588452,-0.002497248237223075,0.00017795508583568178,33.864,2.0,0.01,CALL
BBDCA175,2023-01-02T00:00:00.000Z,14.75,17.49,0.01,13,OTM,0.022574,0.04390533428029664,0.001796978285761335,-0.0025460544018814884,0.00016661015099060628,36.467,1.85,0.01,CALL
BBDCA180,2023-01-02T00:00:00.000Z,14.75,13.69,1.2,13,ITM,0.822756,0.20577483584029682,0.008705724776645947,-0.013489743980431396,0.005641378826137906,37.695,79.96,1.2,CALL
BBDCA183,2023-01-02T00:00:00.000Z,14.75,18.32,0.01,13,OTM,0.018945,0.030907497767393224,0.0015491353849230948,-0.002682230941905763,0.00013899973586852952,44.658,1.47,0.01,CALL
BBDCA190,2023-01-02T00:00:00.000Z,14.75,14.51,0.62,13,ATM,0.599617,0.31710206939087926,0.012946223676267726,-0.018765794329999794,0.004242697310467817,36.376,56.74,0.62,CALL
BBDCA200,2023-01-02T00:00:00.000Z,14.75,15.33,0.25,13,ATM,0.334167,0.3079700958507624,0.012193080089657225,-0.01691468555836359,0.002413735233622819,35.276,30.55,0.25,CALL
BBDCA210,2023-01-02T00:00:00.000Z,14.75,16.16,0.08,13,OTM,0.138194,0.18699165777127272,0.007391031757235966,-0.010166778908046455,0.001010261337089054,35.218,12.13,0.08,CALL
BBDCA220,2023-01-02T00:00:00.000Z,14.75,16.99,0.02,13,OTM,0.042857,0.07740349283530393,0.003052943459108945,-0.004175082974238208,0.0003157879778748228,35.143,3.61,0.02,CALL
BBDCA230,2023-01-02T00:00:00.000Z,14.75,17.82,0.01,13,OTM,0.02094,0.037747994981323106,0.0016864238693290298,-0.002605648582874832,0.0001541696384124161,39.806,1.68,0.01,CALL
BBDCA240,2023-01-02T00:00:00.000Z,14.75,18.64,0.01,13,OTM,0.017919,0.027619662369387878,0.0014773085155804094,-0.002728059738761622,0.00013118778850079688,47.657,1.37,0.01,CALL
BBDCA250,2023-01-02T00:00:00.000Z,14.75,19.47,0.01,13,OTM,0.015809,0.02147696789745115,0.0013272225199389776,-0.0028284450363355866,0.00011513592099092609,55.061,1.15,0.01,CALL
BBDCA678,2023-01-02T00:00:00.000Z,14.75,12.53,2.31,13,ITM,0.914199,0.08440723488219373,0.005249860721648721,-0.012076619781694447,0.0057645555200423635,55.417,89.27,2.31,CALL
BBDCA688,2023-01-02T00:00:00.000Z,14.75,13.11,1.84,13,ITM,0.832007,0.12826792177494056,0.008413191090498408,-0.0197386774029784,0.005381617589886642,58.441,79.66,1.84,CALL
BBDCA698,2023-01-02T00:00:00.000Z,14.75,13.36,1.5,13,ITM,0.867323,0.15517766726888993,0.007187511126985586,-0.012304879445056342,0.005825719944777109,41.269,84.62,1.5,CALL
BBDCB128,2023-01-02T00:00:00.000Z,14.75,14.21,1.13,33,ATM,0.638555,0.18098534828390578,0.019996506020643748,-0.012407510144789953,0.010854196482503072,38.781,58.48,1.13,CALL
BBDCB130,2023-01-02T00:00:00.000Z,14.75,15.21,0.58,33,ATM,0.439481,0.20653388972251904,0.021048551979400424,-0.01187656575226649,0.0077292479820594145,35.771,38.91,0.58,CALL
BBDCB135,2023-01-02T00:00:00.000Z,14.75,13.46,1.7,33,ITM,0.750581,0.13658166632483956,0.016940768877424028,-0.011918412726259342,0.012271603514472934,43.536,69.8,1.7,CALL
BBDCB138,2023-01-02T00:00:00.000Z,14.75,13.96,1.28,33,ITM,0.685084,0.17203987628858913,0.018959085155377656,-0.011811744439138511,0.01155649294390601,38.681,63.38,1.28,CALL
BBDCB141,2023-01-02T00:00:00.000Z,14.75,15.46,0.49,33,ATM,0.390643,0.20075455332870357,0.020488901960244475,-0.011539136427244799,0.006903762330727307,35.823,34.19,0.49,CALL
BBDCB143,2023-01-02T00:00:00.000Z,14.75,14.46,0.95,33,ATM,0.592996,0.1973614103309775,0.02071281534416047,-0.012179300764550047,0.010209936761580107,36.837,54.06,0.95,CALL
BBDCB145,2023-01-02T00:00:00.000Z,14.75,17.21,0.12,33,OTM,0.1327,0.11302319314089508,0.01145294273822522,-0.006317846786540455,0.002406033510815394,35.568,10.7,0.12,CALL
BBDCB146,2023-01-02T00:00:00.000Z,14.75,14.71,0.79,33,ATM,0.542074,0.21028949737952354,0.021175534086751116,-0.011911852236260505,0.009435853385449524,35.344,49.11,0.79,CALL
BBDCB148,2023-01-02T00:00:00.000Z,14.75,14.96,0.71,33,ATM,0.492442,0.20179787478253544,0.021290239655770295,-0.012465656837844272,0.00858195878771207,37.031,43.92,0.71,CALL
BBDCB153,2023-01-02T00:00:00.000Z,14.75,16.46,0.22,33,OTM,0.217921,0.15714323133450836,0.015718292540873847,-0.0085989919567947,0.003921143160367744,35.109,18.24,0.22,CALL
BBDCB155,2023-01-02T00:00:00.000Z,14.75,15.71,0.41,33,OTM,0.34398,0.19256210992011735,0.01964406261802222,-0.011027575400816942,0.006107200553676256,35.807,29.76,0.41,CALL
BBDCB156,2023-01-02T00:00:00.000Z,14.75,16.71,0.17,33,OTM,0.180011,0.14241441739150426,0.014006462711179009,-0.007523189399359491,0.0032543898094589225,34.521,14.91,0.17,CALL
BBDCB159,2023-01-02T00:00:00.000Z,14.75,15.96,0.32,33,OTM,0.292956,0.1858378956429222,0.018357534777133734,-0.009961511955690889,0.005239521914652915,34.672,25.14,0.32,CALL
BBDCB161,2023-01-02T00:00:00.000Z,14.75,16.21,0.27,33,OTM,0.255196,0.17130396440100445,0.017146534335110833,-0.009404699424816705,0.004575648711757809,35.133,21.61,0.27,CALL
BBDCB163,2023-01-02T00:00:00.000Z,14.75,18.21,0.08,33,OTM,0.086248,0.07362837785793418,0.00839699208999104,-0.005187495433072436,0.0015611570797358452,40.03,6.56,0.08,CALL
BBDCB165,2023-01-02T00:00:00.000Z,14.75,17.46,0.1,33,OTM,0.113125,0.09988172107927484,0.010239860622311326,-0.0057074351400808795,0.002054107703103991,35.984,9.01,0.1,CALL
BBDCB168,2023-01-02T00:00:00.000Z,14.75,16.96,0.15,33,OTM,0.158994,0.12747358926528166,0.012933546637258774,-0.007152945912965655,0.0028746051563509063,35.612,12.98,0.15,CALL
BBDCB171,2023-01-02T00:00:00.000Z,14.75,17.96,0.07,33,OTM,0.082284,0.07718565843106064,0.008105611121505362,-0.004617618876807254,0.0014976886174977936,36.86,6.38,0.07,CALL
BBDCB176,2023-01-02T00:00:00.000Z,14.75,17.71,0.08,33,OTM,0.09381,0.0870879559800937,0.008938120549142491,-0.004982071394889858,0.0017072252106784271,36.024,7.38,0.08,CALL
BBDCB191,2023-01-02T00:00:00.000Z,14.75,19.87,0.03,33,OTM,0.034804,0.03341266235176199,0.004105381170563706,-0.0027209673937045892,0.0006329458575533717,43.127,2.44,0.03,CALL
BBDCB210,2023-01-02T00:00:00.000Z,14.75,18.46,0.06,33,OTM,0.068507,0.06291089415638103,0.007048654547416087,-0.004275419038096855,0.0012446568601082698,39.326,5.16,0.06,CALL
BBDCB211,2023-01-02T00:00:00.000Z,14.75,21.23,0.01,33,OTM,0.013013,0.014476259238475045,0.0017882646248718811,-0.0011892509637049077,0.00023824234962974752,43.359,0.86,0.01,CALL
BBDCB215,2023-01-02T00:00:00.000Z,14.75,21.48,0.01,33,OTM,0.012707,0.013804520699057691,0.0017518620199062779,-0.0011964143710854085,0.00023235081719660486,44.543,0.83,0.01,CALL
BBDCB216,2023-01-02T00:00:00.000Z,14.75,19.37,0.04,33,OTM,0.045543,0.04246374893559118,0.0051084277285015755,-0.0033184052766736622,0.0008273044405877717,42.225,3.27,0.04,CALL
BBDCC145,2023-01-02T00:00:00.000Z,14.75,15.63,0.64,53,OTM,0.403638,0.15939892942421283,0.0261949317608185,-0.009297076248343085,0.011175547549808344,35.915,34.14,0.64,CALL
BBDCC146,2023-01-02T00:00:00.000Z,14.75,15.13,0.8,53,ATM,0.478928,0.1689308071230535,0.0269484181529242,-0.009360436215019353,0.013174667565909438,34.863,41.58,0.8,CALL
BBDCC148,2023-01-02T00:00:00.000Z,14.75,14.88,0.97,53,ATM,0.523264,0.15851555262185618,0.026940165586281154,-0.009975421769883612,0.014192496759480809,37.142,45.54,0.97,CALL
BBDCC153,2023-01-02T00:00:00.000Z,14.75,15.38,0.71,53,ATM,0.439411,0.16568621071345666,0.026674189422015097,-0.009311902191451445,0.012138030972355893,35.184,37.68,0.71,CALL
BBDCC166,2023-01-02T00:00:00.000Z,14.75,16.63,0.3,53,OTM,0.244645,0.14108870553628353,0.021248262142189726,-0.006860260317021131,0.006958362708274765,32.913,19.98,0.3,CALL
BBDCC208,2023-01-02T00:00:00.000Z,14.75,18.63,0.1,53,OTM,0.09427,0.06940932064944236,0.011368316414729917,-0.003941359370119061,0.0027141416088180092,35.795,6.96,0.1,CALL
BBDCC216,2023-01-02T00:00:00.000Z,14.75,19.32,0.07,53,OTM,0.068125,0.052820152453831634,0.008894372809515638,-0.0031621250757274126,0.001966122381416272,36.801,4.86,0.07,CALL
BBDCC224,2023-01-02T00:00:00.000Z,14.75,22.0,0.02,53,OTM,0.020981,0.018379498154421185,0.0034108128511667,-0.0013279983812792032,0.000608795878800808,40.557,1.32,0.02,CALL
BBDCC235,2023-01-02T00:00:00.000Z,14.75,23.5,0.03,53,OTM,0.025774,0.018133410274911277,0.0040557306411241265,-0.0018980216234134805,0.0007364345006662433,48.88,1.5,0.03,CALL
BBDCD159,2023-01-02T00:00:00.000Z,14.75,15.91,0.74,77,OTM,0.399249,0.13304663559853952,0.031484339891764745,-0.00768625985653802,0.015732848908483758,35.597,32.56,0.74,CALL
BBDCD180,2023-01-02T00:00:00.000Z,14.75,17.67,1.72,338,OTM,0.448384,0.060976525950759315,0.06757799632382533,-0.0041850402392379065,0.06563739298627878,37.979,28.45,1.72,CALL
BBDCD184,2023-01-02T00:00:00.000Z,14.75,18.41,0.16,77,OTM,0.130953,0.08098111672729957,0.017335380228013012,-0.003765422734518498,0.0054131079240507555,32.201,9.68,0.16,CALL
BBDCD204,2023-01-02T00:00:00.000Z,14.75,20.41,0.08,77,OTM,0.066881,0.04409945622180312,0.010569057212048342,-0.0025461902367173903,0.002769818274511375,36.052,4.47,0.08,CALL
BBDCD214,2023-01-02T00:00:00.000Z,14.75,21.41,0.05,77,OTM,0.043915,0.031088723487293805,0.007577746916466913,-0.0018516250150509633,0.0018264391043418752,36.666,2.81,0.05,CALL
BBDCD399,2023-01-02T00:00:00.000Z,14.75,35.21,0.01,77,OTM,0.006941,0.003983980392046327,0.001577025832346708,-0.0006170998026526917,0.00028229731165478215,59.545,0.26,0.01,CALL
BBDCE154,2023-01-02T00:00:00.000Z,14.75,16.29,0.91,98,OTM,0.401765,0.10653307579039589,0.03557751381001921,-0.007562845317066476,0.019506846203738857,39.471,31.03,0.91,CALL
BBDCE205,2023-01-02T00:00:00.000Z,14.75,18.29,0.3,98,OTM,0.191523,0.08723250173634242,0.025083423032283017,-0.004549794961576242,0.009819340106148369,33.986,13.91,0.3,CALL
BBDCF223,2023-01-02T00:00:00.000Z,14.75,22.3,0.07,118,OTM,0.052665,0.03131313481860936,0.010848874107431098,-0.0016194788994849506,0.0033096928894743058,34.009,3.2,0.07,CALL
BBDCI199,2023-01-02T00:00:00.000Z,14.75,19.94,1.91,448,OTM,0.423422,0.04729723285867792,0.07700877147971444,-0.003962139447038359,0.07707518558540838,42.096,22.53,1.91,CALL
BBDCL149,2023-01-02T00:00:00.000Z,14.75,15.02,2.37,248,ATM,0.581507,0.06556827440783916,0.057152519210770435,-0.005183581223500886,0.06108717374875501,40.71,42.15,2.37,CALL
BBDCL16,2023-01-02T00:00:00.000Z,14.75,16.02,1.89,248,OTM,0.512455,0.06979787369873491,0.05834667495399562,-0.0050426529035364,0.055787497234102035,39.043,36.09,1.89,CALL
BBDCL26,2023-01-02T00:00:00.000Z,14.75,23.02,0.28,248,OTM,0.131097,0.04362427393969321,0.03113467353657267,-0.0022236395663179924,0.016274400587873973,33.334,7.33,0.28,CALL
BBDCL512,2023-01-02T00:00:00.000Z,14.75,14.98,3.83,513,ATM,0.639976,0.03978010088960158,0.07873508354987276,-0.0038746453832361693,0.11419639574568902,44.689,39.0,3.83,CALL
BBDCL628,2023-01-02T00:00:00.000Z,14.75,17.98,2.2,513,OTM,0.485052,0.05151429248707211,0.08389870225047008,-0.0034002243910970418,0.10085988437929155,36.773,28.7,2.2,CALL
BBDCM101,2023-01-02T00:00:00.000Z,14.75,10.21,0.01,13,OTM,-0.011175999999999964,0.01187447007486571,0.0009836997968793245,-0.0027787685156244663,-9.019963098412695e-05,73.812,1.71,0.01,CALL
BBDCM136,2023-01-02T00:00:00.000Z,14.75,13.94,0.16,13,OTM,-0.22477899999999995,0.2529910026532436,0.010041858652576134,-0.013383453982230816,-0.0017928999170366189,35.366,24.96,0.16,CALL
BBDCM14,2023-01-02T00:00:00.000Z,14.75,14.19,0.22,13,ATM,-0.291801,0.29818458152198113,0.011500875437437745,-0.014842273694678854,-0.002333831180418632,34.365,31.92,0.22,CALL
BBDCM141,2023-01-02T00:00:00.000Z,14.75,16.41,1.69,13,ITM,-0.9084760000000001,0.14459788795374415,0.005508491053423689,-0.005993692528180676,-0.0077844911469027315,33.943,92.05,1.69,CALL
BBDCM146,2023-01-02T00:00:00.000Z,14.75,14.76,0.44,13,ATM,-0.48311899999999997,0.35911815265082186,0.013353130931415234,-0.016414594482318433,-0.0039030665589671865,33.13,51.31,0.44,CALL
BBDCM15,2023-01-02T00:00:00.000Z,14.75,15.01,0.56,13,ATM,-0.57638,0.369139657824383,0.01311939209400669,-0.015259531491541405,-0.004674604618590906,31.666,60.43,0.56,CALL
BBDCM150,2023-01-02T00:00:00.000Z,14.75,11.21,0.01,13,OTM,-0.014233999999999969,0.018940710977625185,0.0012127149455857598,-0.0026434284900503004,-0.0001134648652788613,57.048,1.96,0.01,CALL
BBDCM155,2023-01-02T00:00:00.000Z,14.75,15.58,0.95,13,ITM,-0.7671520000000001,0.2950703786163907,0.010242665674423177,-0.011210978744955634,-0.00632740370275557,30.929,78.81,0.95,CALL
BBDCM156,2023-01-02T00:00:00.000Z,14.75,15.91,1.25,13,ITM,-0.8219879999999999,0.22753765083180671,0.008729544228186363,-0.010415713318888235,-0.0068994165281733135,34.183,84.15,1.25,CALL
BBDCM160,2023-01-02T00:00:00.000Z,14.75,12.03,0.02,13,OTM,-0.029976000000000003,0.04106567106381813,0.0022779569999184872,-0.0042936116901464115,-0.00023840860691037302,49.425,3.85,0.02,CALL
BBDCM170,2023-01-02T00:00:00.000Z,14.75,12.86,0.06,13,OTM,-0.08265999999999996,0.09988021349680799,0.005104933932107463,-0.008839877017559112,-0.0006599147547977793,45.539,9.96,0.06,CALL
BBDCM173,2023-01-02T00:00:00.000Z,14.75,17.24,2.49,13,ITM,-0.96318,0.0645310661392593,0.0026984322970826868,-0.002541714141136571,-0.008613434838118912,37.258,96.95,2.49,CALL
BBDCM175,2023-01-02T00:00:00.000Z,14.75,17.49,2.73,13,ITM,-0.980898,0.0393837883114364,0.0015599898185364486,-0.0007525962113550765,-0.008872060393031508,35.292,98.43,2.73,CALL
BBDCM180,2023-01-02T00:00:00.000Z,14.75,13.69,0.16,13,OTM,-0.197751,0.20010576540282315,0.00931538213126264,-0.014616759166580146,-0.0015872429796520626,41.478,22.5,0.16,CALL
BBDCM181,2023-01-02T00:00:00.000Z,14.75,18.07,3.32,13,ITM,-0.968262,0.045674637901565354,0.0023882769069826027,-0.002882586306595541,-0.009080276164107103,46.589,97.51,3.32,CALL
BBDCM186,2023-01-02T00:00:00.000Z,14.75,19.72,4.97,13,ITM,-0.973595,0.028792136993907105,0.0020497123819932465,-0.00346636986772317,-0.009972041679312278,63.43,98.13,4.97,CALL
BBDCM189,2023-01-02T00:00:00.000Z,14.75,18.89,4.04,13,ITM,-1.0,0.0,0.0,0.0014976603557164219,-0.009734735401063224,0.0,100.0,4.1205,CALL
BBDCM190,2023-01-02T00:00:00.000Z,14.75,14.51,0.33,13,ATM,-0.395015,0.34140438784490046,0.012899589813336278,-0.01621412645979991,-0.0031759343838335214,33.665,42.47,0.33,CALL
BBDCM200,2023-01-02T00:00:00.000Z,14.75,15.33,0.76,13,ATM,-0.692286,0.34123909360566795,0.011780846121717979,-0.013067223101844199,-0.005659725674267063,30.761,71.64,0.76,CALL
BBDCM202,2023-01-02T00:00:00.000Z,14.75,19.97,5.18,13,ITM,-1.0,0.0,0.0,0.0015832862521787685,-0.010291300474284415,0.0,100.0,5.1994,CALL
BBDCM206,2023-01-02T00:00:00.000Z,14.75,20.55,5.75,13,ITM,-0.995892,0.006729125101688407,0.00040650523908775403,0.0007830895091916608,-0.01056007801318806,53.825,99.72,5.781,CALL
BBDCM210,2023-01-02T00:00:00.000Z,14.75,16.16,1.44,13,ITM,-0.899869,0.17351894728283643,0.005885046096059781,-0.005672320227673641,-0.007590038936345221,30.219,91.14,1.44,CALL
BBDCM214,2023-01-02T00:00:00.000Z,14.75,21.37,6.55,13,ITM,-1.0,0.0,0.0,0.0016942827846299594,-0.011012773717348918,0.0,100.0,6.598,CALL
BBDCM220,2023-01-02T00:00:00.000Z,14.75,16.99,2.18,13,ITM,-1.0,0.0,0.0,0.0013470222045326627,-0.008755593142618536,0.0,100.0,2.2225,CALL
BBDCM230,2023-01-02T00:00:00.000Z,14.75,17.82,3.09,13,ITM,-0.944102,0.06691494415520012,0.003774696291720332,-0.005946585954294289,-0.008777797316521457,50.261,95.58,3.09,CALL
